what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1432315082613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315090778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315094560
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1432315100514
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1432315100574
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1432315100587
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1432315104874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315105099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315108552
executed,command,,,"org.eclipse.dltk.ui.edit.text.script.rename.element",1432315108559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315119705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315122412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1432315122418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315123540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315125289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1432315125296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315126962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315127903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1432315127913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315129344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315161351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315168594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315242460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315247510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315259271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1432315259276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315263204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315263540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315265402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315265547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315268944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315414812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315431517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315512120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432315545263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316088213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316095326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316096644
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1432316098410
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1432316098506
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1432316098518
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1432316098682
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1432316098873
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1432316098973
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1432316099325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316102079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316124724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1432316127718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432316130148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316131110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316131842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316132356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316252025
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1432316254428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432316260090
